"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1","Pública","Cruz","3.6","4.2","4.9","5.7","6.2","7.5","7.7","8.3","9.0","",""
"1.1.1.1","Pública","Deputado Irapuan Pinheiro","3.7","3.6","4.4","4.7","5.3","8.2","8.6","8.3","8.2","",""
"1.1.1.1","Pública","Ereré","3.1","3.0","3.5","4.5","4.8","5.7","6.4","6.3","6.5","",""
"1.1.1.1","Pública","Eusébio","3.8","3.9","4.8","5.4","5.7","6.2","6.6","6.1","6.5","",""
"1.1.1.1","Pública","Farias Brito","3.1","3.5","3.9","5.3","6.3","6.6","6.8","6.4","6.1","",""
"1.1.1.1","Pública","Forquilha","3.2","3.8","4.8","5.3","6.1","6.5","7.6","7.0","6.0","",""
"1.1.1.1","Pública","Fortaleza","3.3","3.5","3.9","4.2","4.7","5.4","6.0","6.2","5.9","",""
"1.1.1.1","Pública","Fortim","3.8","4.2","4.3","5.0","5.7","6.0","6.9","6.7","6.6","",""
"1.1.1.1","Pública","Frecheirinha","2.9","3.4","4.3","4.5","5.5","7.6","7.9","7.8","9.2","",""
"1.1.1.1","Pública","General Sampaio","2.4","3.6","3.9","-","4.4","5.6","5.7","5.7","6.4","",""
"1.1.1.1","Pública","Graça","3.7","2.8","4.2","5.4","5.9","6.5","6.6","6.9","8.6","",""
"1.1.1.1","Pública","Granja","3.3","3.4","3.8","4.1","5.3","7.3","7.7","7.0","5.5","",""
"1.1.1.1","Pública","Granjeiro","-","3.4","4.4","4.2","5.9","5.8","5.1","6.0","-","",""
"1.1.1.1","Pública","Groaíras","-","4.3","5.6","6.7","7.4","7.8","7.8","7.6","7.4","",""
"1.1.1.1","Pública","Guaiúba","2.8","2.7","3.8","4.3","4.4","4.8","5.5","5.6","5.3","",""
"1.1.1.1","Pública","Guaraciaba do Norte","3.3","3.3","3.9","4.8","5.9","6.3","6.2","6.6","7.5","",""
"1.1.1.1","Pública","Guaramiranga","-","3.6","4.5","4.6","5.4","5.8","6.2","6.0","6.3","",""
"1.1.1.1","Pública","Hidrolândia","2.9","3.1","3.9","5.2","5.5","5.8","6.2","6.6","6.3","",""
"1.1.1.1","Pública","Horizonte","3.2","3.3","4.5","5.1","5.5","6.1","6.8","6.9","6.5","",""
"1.1.1.1","Pública","Ibaretama","2.9","2.7","3.2","3.3","3.7","4.4","4.8","5.1","5.1","",""
"1.1.1.1","Pública","Ibiapina","2.8","3.4","4.1","4.5","4.8","5.2","6.3","6.3","5.4","",""
"1.1.1.1","Pública","Ibicuitinga","-","3.1","3.6","4.8","5.4","5.5","6.0","6.0","6.4","",""
"1.1.1.1","Pública","Icapuí","2.7","3.3","3.8","4.1","4.5","-","5.9","6.0","6.0","",""
"1.1.1.1","Pública","Icó","2.4","3.1","3.4","4.0","3.6","4.6","4.5","5.0","4.8","",""
"1.1.1.1","Pública","Iguatu","3.3","3.7","4.1","5.1","5.1","5.6","5.8","5.7","5.4","",""
"1.1.1.1","Pública","Independência","2.9","3.7","4.7","6.4","6.2","7.8","6.9","9.1","8.7","",""
"1.1.1.1","Pública","Ipaporanga","3.9","3.2","4.7","5.7","4.7","6.8","7.0","7.4","6.6","",""
"1.1.1.1","Pública","Ipaumirim","2.3","2.3","2.5","3.9","5.4","4.1","4.2","5.2","4.9","",""
"1.1.1.1","Pública","Ipu","2.2","3.1","4.0","4.5","4.2","4.8","6.6","5.9","6.5","",""
"1.1.1.1","Pública","Ipueiras","2.5","3.0","3.1","4.7","4.9","5.3","5.3","6.3","6.1","",""
"1.1.1.1","Pública","Iracema","3.4","3.9","4.5","4.6","5.2","5.2","5.9","6.5","5.9","",""
"1.1.1.1","Pública","Irauçuba","3.2","3.2","3.7","5.0","5.6","6.1","6.3","6.4","6.2","",""
"1.1.1.1","Pública","Itaiçaba","3.6","4.5","5.3","5.4","6.4","6.3","6.9","6.9","6.7","",""
"1.1.1.1","Pública","Itaitinga","2.9","3.6","4.6","5.1","5.3","5.4","5.6","5.6","5.9","",""
"1.1.1.1","Pública","Itapajé","3.7","3.8","4.3","4.4","5.1","5.7","5.8","6.2","6.3","",""
"1.1.1.1","Pública","Itapipoca","3.1","3.4","4.0","4.5","4.6","5.6","6.0","6.2","6.0","",""
"1.1.1.1","Pública","Itapiúna","3.0","3.3","3.6","3.9","4.4","5.0","5.2","6.1","7.5","",""
"1.1.1.1","Pública","Itarema","3.1","3.6","4.4","6.7","5.6","6.3","6.2","6.5","6.0","",""
"1.1.1.1","Pública","Itatira","3.1","3.1","3.3","4.2","3.9","5.1","7.2","7.8","6.1","",""
"1.1.1.1","Pública","Jaguaretama","2.5","3.9","3.8","4.4","4.6","5.8","5.7","6.1","5.8","",""
"1.1.1.1","Pública","Jaguaribara","3.1","3.5","3.3","4.2","4.7","4.9","5.7","6.2","6.4","",""
"1.1.1.1","Pública","Jaguaribe","2.7","3.1","3.7","4.4","4.9","5.5","6.4","6.3","5.9","",""
"1.1.1.1","Pública","Jaguaruana","3.0","3.2","3.9","5.2","5.3","6.3","6.3","6.4","6.3","",""
"1.1.1.1","Pública","Jardim","3.0","3.4","3.8","4.8","5.2","5.9","5.5","5.7","5.4","",""
"1.1.1.1","Pública","Jati","3.3","3.6","4.3","5.4","6.2","6.3","7.7","5.6","6.0","",""
"1.1.1.1","Pública","Jijoca de Jericoacoara","3.7","4.4","4.9","6.9","7.2","7.6","8.2","8.3","9.1","",""
"1.1.1.1","Pública","Juazeiro do Norte","3.3","3.7","3.9","4.2","4.2","4.9","5.0","5.5","5.4","",""
"1.1.1.1","Pública","Jucás","3.4","3.5","3.6","5.1","4.9","5.4","6.2","6.4","5.9","",""
"1.1.1.1","Pública","Lavras da Mangabeira","2.2","2.6","3.0","3.8","4.4","4.5","4.6","5.3","4.9","",""
"1.1.1.1","Pública","Limoeiro do Norte","3.5","3.9","4.3","5.0","5.1","5.5","5.5","6.4","6.5","",""
"1.1.1.1","Pública","Madalena","2.8","2.9","4.3","4.5","4.6","5.0","5.2","5.3","5.7","",""
"1.1.1.1","Pública","Maracanaú","3.8","3.8","4.7","4.9","5.1","5.7","5.8","6.0","5.7","",""
"1.1.1.1","Pública","Maranguape","3.6","3.7","4.3","4.8","4.6","5.3","5.8","6.1","5.8","",""
"1.1.1.1","Pública","Marco","3.1","3.3","3.6","4.8","4.8","5.7","6.1","6.0","7.0","",""
