"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1.1","Municipal","Catarina","3.1","3.6","4.4","4.2","5.1","5.8","5.6","6.0","5.8","",""
"1.1.1.1.1","Municipal","Catunda","3.5","4.4","4.0","4.2","4.8","6.4","8.2","8.2","8.8","",""
"1.1.1.1.1","Municipal","Caucaia","3.3","3.9","3.9","4.3","4.4","5.0","5.1","5.3","5.3","",""
"1.1.1.1.1","Municipal","Cedro","2.6","3.0","3.4","4.0","3.9","5.0","5.5","5.7","5.9","",""
"1.1.1.1.1","Municipal","Chaval","2.8","3.4","3.8","3.9","4.9","5.2","5.9","6.3","5.9","",""
"1.1.1.1.1","Municipal","Choró","2.8","3.3","3.9","4.3","4.9","5.5","5.4","5.7","5.7","",""
"1.1.1.1.1","Municipal","Chorozinho","2.5","2.9","3.4","3.8","4.7","5.5","6.0","6.4","6.4","",""
"1.1.1.1.1","Municipal","Coreaú","3.0","3.1","3.9","4.8","6.0","7.8","7.9","6.6","6.3","",""
"1.1.1.1.1","Municipal","Crateús","2.9","3.4","4.1","4.7","5.1","5.6","5.7","6.8","6.5","",""
"1.1.1.1.1","Municipal","Crato","2.9","3.3","3.8","4.5","4.7","5.1","5.3","5.5","5.6","",""
"1.1.1.1.1","Municipal","Croatá","3.6","3.7","4.1","4.7","5.1","5.8","6.3","6.2","6.6","",""
"1.1.1.1.1","Municipal","Cruz","3.6","4.2","4.9","5.7","6.2","7.5","7.7","8.3","9.0","",""
"1.1.1.1.1","Municipal","Deputado Irapuan Pinheiro","3.7","3.6","4.4","4.7","5.3","8.2","8.6","8.3","8.2","",""
"1.1.1.1.1","Municipal","Ereré","3.1","3.0","3.5","4.5","4.8","5.7","6.4","6.3","6.5","",""
"1.1.1.1.1","Municipal","Eusébio","3.8","3.9","4.8","5.4","5.7","6.2","6.6","6.1","6.5","",""
"1.1.1.1.1","Municipal","Farias Brito","3.1","3.5","3.9","5.3","6.3","6.6","6.8","6.4","6.1","",""
"1.1.1.1.1","Municipal","Forquilha","3.2","3.8","4.8","5.3","6.1","6.5","7.6","7.0","6.0","",""
"1.1.1.1.1","Municipal","Fortaleza","3.2","3.4","3.9","4.2","4.6","5.4","6.0","6.2","5.8","",""
"1.1.1.1.1","Municipal","Fortim","3.8","4.2","4.3","5.0","5.7","6.0","6.9","6.7","6.6","",""
"1.1.1.1.1","Municipal","Frecheirinha","2.9","3.4","4.3","4.5","5.5","7.6","7.9","7.8","9.2","",""
"1.1.1.1.1","Municipal","General Sampaio","2.4","3.6","3.9","-","4.4","5.6","5.7","5.7","6.4","",""
"1.1.1.1.1","Municipal","Graça","3.7","2.8","4.2","5.4","5.9","6.5","6.6","6.9","8.6","",""
"1.1.1.1.1","Municipal","Granja","3.3","3.4","3.8","4.1","5.3","7.3","7.7","7.0","5.5","",""
"1.1.1.1.1","Municipal","Granjeiro","-","3.4","4.4","4.2","5.9","5.8","5.1","6.0","-","",""
"1.1.1.1.1","Municipal","Groaíras","-","4.3","5.6","6.7","7.4","7.8","7.8","7.6","7.4","",""
"1.1.1.1.1","Municipal","Guaiúba","2.8","2.7","3.8","4.3","4.4","4.8","5.5","5.6","5.3","",""
"1.1.1.1.1","Municipal","Guaraciaba do Norte","3.3","3.3","3.9","4.8","5.9","6.3","6.2","6.6","7.5","",""
"1.1.1.1.1","Municipal","Guaramiranga","-","3.6","4.5","4.6","5.4","5.8","6.2","6.0","6.3","",""
"1.1.1.1.1","Municipal","Hidrolândia","2.9","3.1","3.9","5.2","5.5","5.8","6.2","6.6","6.3","",""
"1.1.1.1.1","Municipal","Horizonte","3.2","3.3","4.5","5.1","5.5","6.1","6.8","6.9","6.5","",""
"1.1.1.1.1","Municipal","Ibaretama","2.9","2.7","3.2","3.3","3.7","4.4","4.8","5.1","5.1","",""
"1.1.1.1.1","Municipal","Ibiapina","2.8","3.4","4.1","4.5","4.8","5.2","6.3","6.3","5.4","",""
"1.1.1.1.1","Municipal","Ibicuitinga","-","3.1","3.6","4.8","5.4","5.5","6.0","6.0","6.4","",""
"1.1.1.1.1","Municipal","Icapuí","2.7","3.3","3.8","4.1","4.5","-","5.9","6.0","6.0","",""
"1.1.1.1.1","Municipal","Icó","2.4","3.1","3.4","4.0","3.6","4.6","4.5","5.0","4.8","",""
"1.1.1.1.1","Municipal","Iguatu","3.3","3.7","4.1","5.1","5.1","5.6","5.8","5.7","5.4","",""
"1.1.1.1.1","Municipal","Independência","2.9","3.7","4.7","6.4","6.2","7.8","6.9","9.1","8.7","",""
"1.1.1.1.1","Municipal","Ipaporanga","3.9","3.2","4.7","5.7","4.7","6.8","7.0","7.4","6.6","",""
"1.1.1.1.1","Municipal","Ipaumirim","2.3","2.3","2.5","3.9","5.4","4.1","4.2","5.2","4.9","",""
"1.1.1.1.1","Municipal","Ipu","2.2","3.1","4.0","4.5","4.1","4.8","6.6","5.9","6.5","",""
"1.1.1.1.1","Municipal","Ipueiras","2.5","3.0","3.1","4.7","4.9","5.3","5.3","6.3","6.1","",""
"1.1.1.1.1","Municipal","Iracema","3.4","3.9","4.5","4.6","5.2","5.2","5.9","6.5","5.9","",""
"1.1.1.1.1","Municipal","Irauçuba","3.2","3.2","3.7","5.0","5.6","6.1","6.3","6.4","6.2","",""
"1.1.1.1.1","Municipal","Itaiçaba","3.6","4.5","5.3","5.4","6.4","6.3","6.9","6.9","6.7","",""
"1.1.1.1.1","Municipal","Itaitinga","2.9","3.6","4.6","5.1","5.3","5.4","5.6","5.6","5.9","",""
"1.1.1.1.1","Municipal","Itapajé","3.7","3.8","4.3","4.4","5.1","5.7","5.8","6.2","6.3","",""
"1.1.1.1.1","Municipal","Itapipoca","3.1","3.4","4.0","4.5","4.6","5.6","6.0","6.2","6.0","",""
"1.1.1.1.1","Municipal","Itapiúna","3.0","3.3","3.6","3.9","4.4","5.0","5.2","6.1","7.5","",""
"1.1.1.1.1","Municipal","Itarema","3.2","3.7","4.5","6.9","5.7","6.4","6.3","6.5","6.0","",""
"1.1.1.1.1","Municipal","Itatira","3.1","3.1","3.3","4.2","3.9","5.1","7.2","7.8","6.1","",""
"1.1.1.1.1","Municipal","Jaguaretama","2.5","3.9","3.8","4.4","4.6","5.8","5.7","6.1","5.8","",""
"1.1.1.1.1","Municipal","Jaguaribara","3.1","3.5","3.3","4.2","4.7","4.9","5.7","6.2","6.4","",""
"1.1.1.1.1","Municipal","Jaguaribe","2.7","3.1","3.7","4.4","4.9","5.5","6.4","6.3","5.9","",""
"1.1.1.1.1","Municipal","Jaguaruana","3.0","3.2","3.9","5.2","5.3","6.3","6.3","6.4","6.3","",""
"1.1.1.1.1","Municipal","Jardim","3.0","3.4","3.8","4.8","5.2","5.9","5.5","5.7","5.4","",""
"1.1.1.1.1","Municipal","Jati","3.3","3.6","4.3","5.4","6.2","6.3","7.7","5.6","6.0","",""
"1.1.1.1.1","Municipal","Jijoca de Jericoacoara","3.7","4.4","4.9","6.9","7.2","7.6","8.2","8.3","9.1","",""
"1.1.1.1.1","Municipal","Juazeiro do Norte","3.3","3.7","3.9","4.2","4.2","4.9","5.0","5.5","5.4","",""
"1.1.1.1.1","Municipal","Jucás","3.4","3.5","3.6","5.1","4.9","5.4","6.2","6.4","5.9","",""
"1.1.1.1.1","Municipal","Lavras da Mangabeira","2.2","2.6","3.0","3.8","4.4","4.5","4.6","5.3","4.9","",""
"1.1.1.1.1","Municipal","Limoeiro do Norte","3.5","3.9","4.3","5.0","5.1","5.5","5.5","6.4","6.5","",""
"1.1.1.1.1","Municipal","Madalena","2.8","2.9","4.3","4.5","4.6","5.0","5.2","5.3","5.7","",""
"1.1.1.1.1","Municipal","Maracanaú","3.9","3.8","4.7","4.9","5.1","5.7","5.8","6.0","5.7","",""
"1.1.1.1.1","Municipal","Maranguape","3.7","3.7","4.3","4.8","4.6","5.3","5.8","6.1","5.8","",""
"1.1.1.1.1","Municipal","Marco","3.1","3.3","3.6","4.8","4.8","5.7","6.1","6.0","7.0","",""
"1.1.1.1.1","Municipal","Martinópole","3.0","4.0","4.4","5.3","6.4","6.5","7.3","8.6","6.9","",""
"1.1.1.1.1","Municipal","Massapê","3.2","3.7","4.0","4.8","4.7","7.6","6.5","7.0","7.5","",""
"1.1.1.1.1","Municipal","Mauriti","2.3","2.9","4.1","4.9","5.1","5.5","6.0","5.6","5.0","",""
"1.1.1.1.1","Municipal","Meruoca","2.8","3.2","4.6","5.3","6.1","7.1","7.9","7.5","7.3","",""
"1.1.1.1.1","Municipal","Milagres","2.6","3.5","3.5","4.0","4.9","5.0","4.8","5.3","4.9","",""
"1.1.1.1.1","Municipal","Milhã","-","3.2","4.3","6.0","5.3","7.7","8.4","8.7","8.6","",""
"1.1.1.1.1","Municipal","Miraíma","3.3","3.4","4.1","4.2","4.5","4.8","5.2","5.5","5.0","",""
"1.1.1.1.1","Municipal","Missão Velha","2.5","3.0","3.3","3.9","4.1","6.1","4.9","5.9","4.7","",""
"1.1.1.1.1","Municipal","Mombaça","3.0","3.2","4.1","4.7","4.7","5.8","5.9","6.8","6.6","",""
"1.1.1.1.1","Municipal","Monsenhor Tabosa","1.7","2.6","3.3","4.3","4.8","5.8","5.7","5.8","6.3","",""
"1.1.1.1.1","Municipal","Morada Nova","3.3","2.6","3.4","4.3","4.4","5.0","5.4","5.7","5.7","",""
"1.1.1.1.1","Municipal","Moraújo","-","3.3","3.9","4.9","5.5","6.2","6.4","6.4","6.1","",""
"1.1.1.1.1","Municipal","Morrinhos","2.9","3.1","4.2","5.5","5.7","6.7","6.4","6.7","5.7","",""
"1.1.1.1.1","Municipal","Mucambo","3.5","4.5","4.9","7.5","6.2","6.1","6.8","9.4","9.4","",""
"1.1.1.1.1","Municipal","Mulungu","2.5","3.1","3.8","4.5","5.4","5.1","5.4","6.8","5.6","",""
"1.1.1.1.1","Municipal","Nova Olinda","2.7","4.0","4.4","5.4","6.5","7.5","7.0","6.0","6.7","",""
"1.1.1.1.1","Municipal","Nova Russas","2.8","3.0","3.2","4.1","4.4","5.1","5.8","7.6","7.2","",""
"1.1.1.1.1","Municipal","Novo Oriente","3.3","3.4","4.4","6.4","7.6","7.9","7.6","8.3","8.9","",""
"1.1.1.1.1","Municipal","Ocara","2.8","2.7","3.6","4.6","5.0","6.0","5.8","6.2","5.9","",""
"1.1.1.1.1","Municipal","Orós","2.6","2.9","3.4","4.6","4.3","5.0","5.9","6.1","5.6","",""
"1.1.1.1.1","Municipal","Pacajus","2.5","3.1","3.9","4.7","5.0","5.7","6.0","6.4","6.4","",""
"1.1.1.1.1","Municipal","Pacatuba","3.6","3.4","4.1","4.6","4.8","5.3","5.6","6.0","5.5","",""
"1.1.1.1.1","Municipal","Pacoti","3.1","3.5","3.7","-","5.2","5.3","5.1","5.8","5.2","",""
"1.1.1.1.1","Municipal","Pacujá","3.3","3.3","3.6","4.6","5.0","6.8","6.9","7.0","7.2","",""
"1.1.1.1.1","Municipal","Palhano","3.1","2.9","4.1","4.9","5.3","6.0","6.1","6.2","6.3","",""
"1.1.1.1.1","Municipal","Palmácia","3.3","3.1","3.4","4.3","4.9","5.5","5.5","6.3","5.8","",""
"1.1.1.1.1","Municipal","Paracuru","3.6","4.0","4.7","5.5","5.0","5.7","5.6","6.2","6.6","",""
"1.1.1.1.1","Municipal","Paraipaba","3.4","4.0","4.3","4.8","5.4","6.4","5.9","6.1","5.9","",""
"1.1.1.1.1","Municipal","Parambu","3.1","4.0","4.1","4.7","5.5","6.0","6.1","6.8","6.3","",""
"1.1.1.1.1","Municipal","Paramoti","2.8","3.2","4.0","4.5","4.2","5.3","5.1","4.7","5.8","",""
"1.1.1.1.1","Municipal","Pedra Branca","3.3","3.2","5.1","6.6","5.6","6.2","7.3","8.1","8.6","",""
"1.1.1.1.1","Municipal","Penaforte","2.5","4.1","4.0","5.0","5.5","6.3","6.7","6.4","5.2","",""
"1.1.1.1.1","Municipal","Pentecoste","3.0","3.5","3.8","4.5","5.2","5.8","6.6","6.8","6.1","",""
"1.1.1.1.1","Municipal","Pereiro","2.9","3.4","4.1","4.4","5.5","5.6","6.2","6.3","6.6","",""
"1.1.1.1.1","Municipal","Pindoretama","-","3.0","4.0","5.0","4.9","5.8","6.2","6.3","6.1","",""
"1.1.1.1.1","Municipal","Piquet Carneiro","3.0","2.9","3.7","4.7","5.8","7.1","6.9","6.6","7.9","",""
"1.1.1.1.1","Municipal","Pires Ferreira","-","3.7","4.0","5.1","7.1","8.7","7.5","8.5","9.1","",""
"1.1.1.1.1","Municipal","Poranga","2.4","3.1","3.4","4.4","5.2","6.3","5.7","5.9","6.1","",""
"1.1.1.1.1","Municipal","Porteiras","3.3","3.3","3.8","4.5","6.2","6.3","6.5","6.0","5.6","",""
"1.1.1.1.1","Municipal","Potengi","2.6","2.8","4.1","4.2","4.9","5.0","5.3","5.1","5.2","",""
"1.1.1.1.1","Municipal","Potiretama","3.1","3.0","3.6","4.4","5.2","5.7","5.9","6.8","6.2","",""
"1.1.1.1.1","Municipal","Quiterianópolis","3.7","3.6","3.9","4.5","5.0","6.4","6.4","6.5","5.9","",""
"1.1.1.1.1","Municipal","Quixadá","3.4","3.9","4.2","4.4","4.5","5.3","5.1","5.5","5.3","",""
"1.1.1.1.1","Municipal","Quixelô","3.2","3.8","3.8","5.0","4.9","5.1","5.8","6.1","5.5","",""
"1.1.1.1.1","Municipal","Quixeramobim","3.0","3.5","4.5","5.2","5.3","6.3","7.4","8.0","7.8","",""
"1.1.1.1.1","Municipal","Quixeré","2.6","3.2","3.9","4.5","5.2","5.9","5.9","6.5","6.3","",""
"1.1.1.1.1","Municipal","Redenção","3.2","3.3","4.3","4.7","4.6","5.7","5.8","5.9","5.9","",""
"1.1.1.1.1","Municipal","Reriutaba","-","3.5","4.1","5.4","5.7","7.5","7.5","6.8","8.2","",""
"1.1.1.1.1","Municipal","Russas","3.3","3.4","4.3","4.9","5.4","6.2","6.7","6.9","6.1","",""
"1.1.1.1.1","Municipal","Saboeiro","2.8","3.0","3.4","5.0","4.9","6.0","5.6","5.8","5.4","",""
"1.1.1.1.1","Municipal","Salitre","1.8","2.7","3.3","4.1","4.8","5.3","6.7","7.7","5.5","",""
"1.1.1.1.1","Municipal","Santana do Acaraú","2.5","2.9","3.4","4.0","4.2","5.2","5.7","6.3","6.4","",""
"1.1.1.1.1","Municipal","Santana do Cariri","3.2","3.6","4.3","4.1","4.6","5.6","5.4","5.2","4.8","",""
"1.1.1.1.1","Municipal","Santa Quitéria","3.3","3.7","4.3","4.4","4.8","5.7","5.7","6.3","6.3","",""
"1.1.1.1.1","Municipal","São Benedito","3.0","3.7","4.1","4.5","4.2","5.2","5.2","5.5","7.3","",""
"1.1.1.1.1","Municipal","São Gonçalo do Amarante","3.8","4.5","4.7","5.1","4.9","6.1","6.5","6.7","6.1","",""
"1.1.1.1.1","Municipal","São João do Jaguaribe","2.4","3.3","4.9","5.9","5.5","6.0","6.5","5.7","6.2","",""
"1.1.1.1.1","Municipal","São Luís do Curu","2.7","2.8","4.0","3.7","4.1","4.8","4.8","4.9","5.1","",""
"1.1.1.1.1","Municipal","Senador Pompeu","3.0","2.8","5.0","4.5","4.3","5.3","5.6","6.4","8.1","",""
"1.1.1.1.1","Municipal","Senador Sá","3.1","3.7","-","5.5","5.7","6.5","6.9","7.1","6.5","",""
"1.1.1.1.1","Municipal","Sobral","4.0","4.9","6.6","7.3","7.8","8.8","9.1","8.4","8.0","",""
"1.1.1.1.1","Municipal","Solonópole","3.5","3.4","3.8","5.1","5.0","6.2","6.3","6.1","7.2","",""
"1.1.1.1.1","Municipal","Tabuleiro do Norte","3.5","3.3","3.9","4.4","5.0","5.5","6.1","6.4","6.1","",""
"1.1.1.1.1","Municipal","Tamboril","2.2","3.1","3.6","4.6","5.2","5.9","5.9","6.9","6.6","",""
"1.1.1.1.1","Municipal","Tarrafas","-","3.3","4.7","4.7","5.1","5.6","5.9","6.3","5.4","",""
"1.1.1.1.1","Municipal","Tauá","3.5","3.9","4.2","5.2","6.1","6.5","6.4","6.1","5.8","",""
"1.1.1.1.1","Municipal","Tejuçuoca","-","3.7","3.7","3.9","4.1","5.3","5.2","5.5","5.7","",""
"1.1.1.1.1","Municipal","Tianguá","3.1","3.7","4.5","5.2","5.0","6.0","6.1","6.4","5.6","",""
"1.1.1.1.1","Municipal","Trairi","3.1","3.0","3.8","4.7","5.0","5.5","5.7","6.2","5.7","",""
"1.1.1.1.1","Municipal","Tururu","3.3","3.2","4.0","4.9","5.2","6.4","6.2","6.0","5.4","",""
"1.1.1.1.1","Municipal","Ubajara","3.6","3.3","4.5","5.3","5.6","6.3","6.6","6.8","6.1","",""
"1.1.1.1.1","Municipal","Umari","2.3","2.6","3.4","4.6","3.8","4.6","4.3","6.3","5.0","",""
"1.1.1.1.1","Municipal","Umirim","3.1","3.2","3.6","4.3","5.1","5.3","5.8","5.3","5.2","",""
"1.1.1.1.1","Municipal","Uruburetama","3.3","3.6","4.1","4.3","5.1","5.6","5.6","5.8","5.4","",""
"1.1.1.1.1","Municipal","Uruoca","3.1","3.8","4.4","5.0","4.7","7.2","7.2","8.3","8.4","",""
"1.1.1.1.1","Municipal","Varjota","3.1","3.5","4.1","4.7","5.7","7.2","7.1","6.8","6.2","",""
"1.1.1.1.1","Municipal","Várzea Alegre","3.2","3.9","4.4","4.5","4.3","5.2","5.6","6.1","6.1","",""
"1.1.1.1.1","Municipal","Viçosa do Ceará","3.1","3.2","4.1","4.7","5.4","5.9","6.2","6.1","6.1","",""
"1.1.1.1.2","Estadual","Acaraú","4.5","-","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Aquiraz","3.4","-","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Caucaia","3.0","-","-","-","-","-","3.3","3.9","4.4","",""
"1.1.1.1.2","Estadual","Cedro","2.3","2.8","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Crateús","-","-","2.5","-","-","4.3","4.4","5.3","5.6","",""
"1.1.1.1.2","Estadual","Crato","2.9","2.6","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Eusébio","3.7","-","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Fortaleza","3.5","3.7","4.5","4.7","5.2","5.9","7.1","7.5","7.9","",""
"1.1.1.1.2","Estadual","Itapipoca","3.2","3.5","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Maracanaú","3.3","3.4","3.2","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Maranguape","3.1","-","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Miraíma","4.1","-","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Monsenhor Tabosa","-","-","-","-","3.5","4.5","8.3","6.1","7.9","",""
"1.1.1.1.2","Estadual","Pacatuba","3.6","-","3.0","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Poranga","2.9","2.0","2.9","2.7","4.9","5.0","6.1","5.4","6.2","",""
"1.1.1.1.2","Estadual","Russas","-","3.6","-","-","-","-","-","-","-","",""
"1.1.1.1.2","Estadual","Tabuleiro do Norte","2.6","-","-","-","-","-","-","-","-","",""
"1.1.1.1.3","Federal",,,,,,,,,,,"",""
"1.1.1.2","Privada",,,,,,,,,,,"",""
"1.1.2","Anos finais",,,,,,,,,,,"",""
"1.1.2.1","Pública","Abaiara","3.4","3.2","5.0","4.0","4.1","4.4","4.8","4.6","4.6","",""
"1.1.2.1","Pública","Acarape","2.6","3.1","3.4","3.3","3.4","3.9","4.7","4.9","5.4","",""
"1.1.2.1","Pública","Acaraú","3.4","3.5","3.6","4.0","4.2","4.5","5.1","5.3","5.2","",""
"1.1.2.1","Pública","Acopiara","3.0","3.5","4.0","4.1","4.3","5.4","5.2","5.5","5.1","",""
"1.1.2.1","Pública","Aiuaba","2.2","3.8","4.5","4.8","4.4","4.8","4.8","5.5","5.5","",""
"1.1.2.1","Pública","Alcântaras","2.7","3.3","3.3","3.6","3.8","4.8","4.9","5.1","6.0","",""
"1.1.2.1","Pública","Altaneira","3.4","3.7","4.1","3.6","4.3","5.1","5.4","5.4","4.8","",""
"1.1.2.1","Pública","Alto Santo","3.1","3.4","3.7","3.9","4.4","4.6","4.6","5.8","5.3","",""
"1.1.2.1","Pública","Amontada","3.2","3.5","3.7","4.0","4.3","4.6","5.0","5.2","5.4","",""
"1.1.2.1","Pública","Antonina do Norte","2.5","2.4","3.1","3.9","4.4","4.6","4.5","5.1","5.0","",""
"1.1.2.1","Pública","Apuiarés","3.2","-","3.7","3.8","3.9","4.9","4.6","5.2","5.3","",""
"1.1.2.1","Pública","Aquiraz","2.5","2.9","3.6","4.1","4.8","4.7","4.4","5.1","5.3","",""
"1.1.2.1","Pública","Aracati","2.8","3.3","3.5","3.5","4.1","4.3","4.7","5.2","5.4","",""
"1.1.2.1","Pública","Aracoiaba","2.9","3.4","3.3","3.2","3.8","4.2","4.6","4.9","4.7","",""
"1.1.2.1","Pública","Ararendá","2.7","2.9","3.5","3.4","3.9","4.8","5.4","6.9","8.1","",""
"1.1.2.1","Pública","Araripe","2.4","3.1","3.3","4.1","4.2","4.6","5.0","5.6","5.2","",""
"1.1.2.1","Pública","Aratuba","3.3","3.9","4.0","4.8","5.2","5.0","5.4","5.3","5.2","",""
"1.1.2.1","Pública","Arneiroz","2.8","3.1","2.5","4.0","4.3","4.7","4.4","4.8","4.8","",""
"1.1.2.1","Pública","Assaré","2.8","2.9","3.5","4.0","4.1","4.7","4.9","4.7","4.8","",""
"1.1.2.1","Pública","Aurora","3.5","3.4","3.5","3.0","3.3","4.6","4.8","4.7","4.9","",""
"1.1.2.1","Pública","Baixio","-","3.1","3.0","3.3","4.6","4.3","4.3","4.4","5.0","",""
"1.1.2.1","Pública","Banabuiú","2.6","3.8","3.8","3.5","3.9","4.8","4.4","4.9","5.1","",""
"1.1.2.1","Pública","Barbalha","3.0","3.3","3.6","4.0","4.6","4.9","5.3","5.5","4.8","",""
"1.1.2.1","Pública","Barreira","2.7","3.2","3.7","3.8","4.0","4.3","4.6","4.8","4.7","",""
"1.1.2.1","Pública","Barro","3.1","4.2","4.2","3.8","3.7","4.2","5.2","5.4","5.2","",""
"1.1.2.1","Pública","Barroquinha","2.8","3.1","3.1","3.6","4.1","4.3","5.3","5.9","5.5","",""
"1.1.2.1","Pública","Baturité","2.6","3.0","3.1","3.9","3.7","3.7","4.0","4.5","5.4","",""
"1.1.2.1","Pública","Beberibe","3.0","3.4","4.0","4.5","4.8","4.8","5.3","5.4","5.5","",""
"1.1.2.1","Pública","Bela Cruz","3.6","3.4","3.9","3.9","4.2","5.0","5.6","5.7","6.1","",""
"1.1.2.1","Pública","Boa Viagem","2.9","3.3","3.6","3.9","4.0","4.3","4.8","4.8","4.7","",""
"1.1.2.1","Pública","Brejo Santo","2.8","3.0","3.4","4.2","5.1","5.9","6.3","5.8","6.1","",""
"1.1.2.1","Pública","Camocim","3.4","3.8","3.9","4.0","4.0","4.6","5.3","5.2","5.7","",""
"1.1.2.1","Pública","Campos Sales","2.8","2.9","3.5","3.5","3.6","4.4","4.7","5.8","4.9","",""
"1.1.2.1","Pública","Canindé","3.0","3.5","4.2","4.1","4.1","4.3","4.7","5.7","5.6","",""
"1.1.2.1","Pública","Capistrano","2.9","2.9","3.5","3.3","3.3","4.2","4.4","4.7","4.5","",""
"1.1.2.1","Pública","Caridade","2.6","3.2","4.0","3.9","3.8","4.0","4.6","4.9","5.1","",""
"1.1.2.1","Pública","Cariré","3.3","3.5","3.4","3.8","5.0","5.7","5.2","5.8","6.0","",""
"1.1.2.1","Pública","Caririaçu","2.8","2.7","3.4","3.5","3.9","4.6","4.8","4.8","5.0","",""
"1.1.2.1","Pública","Cariús","3.0","3.0","3.5","4.0","4.2","4.4","4.4","5.0","5.6","",""
"1.1.2.1","Pública","Carnaubal","3.1","3.3","4.0","3.6","4.6","5.2","4.8","5.2","5.4","",""
"1.1.2.1","Pública","Cascavel","2.8","3.0","3.3","3.6","4.4","5.1","5.1","5.4","5.6","",""
"1.1.2.1","Pública","Catarina","2.3","2.8","3.4","3.3","3.7","3.8","4.2","4.9","4.6","",""
"1.1.2.1","Pública","Catunda","3.0","3.1","3.2","3.4","3.6","4.1","5.8","6.9","7.3","",""
"1.1.2.1","Pública","Caucaia","3.2","3.6","3.5","3.6","3.8","4.0","4.2","4.2","4.6","",""
"1.1.2.1","Pública","Cedro","3.0","3.2","3.6","3.7","4.0","4.3","4.5","4.7","5.6","",""
"1.1.2.1","Pública","Chaval","3.0","3.0","3.2","3.4","3.3","4.2","4.6","5.0","5.4","",""
"1.1.2.1","Pública","Choró","2.6","3.2","3.1","3.6","3.1","3.8","4.4","4.9","5.0","",""
"1.1.2.1","Pública","Chorozinho","2.3","2.9","3.4","3.2","3.7","4.2","4.6","5.4","5.7","",""
"1.1.2.1","Pública","Coreaú","2.9","3.2","3.6","3.9","4.9","5.6","5.4","5.7","5.2","",""
"1.1.2.1","Pública","Crateús","2.6","3.0","3.3","3.5","4.1","4.8","4.7","5.1","5.3","",""
"1.1.2.1","Pública","Crato","2.9","3.2","3.6","3.9","3.9","4.2","4.4","5.0","5.4","",""
"1.1.2.1","Pública","Croatá","3.3","3.5","3.4","3.4","3.6","4.4","4.7","5.2","5.7","",""
"1.1.2.1","Pública","Cruz","3.9","4.0","4.5","4.5","4.8","5.7","6.4","6.9","7.6","",""
"1.1.2.1","Pública","Deputado Irapuan Pinheiro","3.3","3.7","4.0","4.5","4.7","5.4","5.1","5.4","7.0","",""
"1.1.2.1","Pública","Ereré","2.5","2.3","2.6","3.7","4.3","4.1","4.3","4.8","4.9","",""
"1.1.2.1","Pública","Eusébio","3.8","3.7","4.2","4.6","4.6","4.9","5.2","5.3","5.9","",""
"1.1.2.1","Pública","Farias Brito","2.9","3.3","3.1","3.9","4.4","4.5","5.4","5.1","5.7","",""
"1.1.2.1","Pública","Forquilha","3.0","3.0","4.3","4.5","4.9","5.0","5.5","5.7","5.6","",""
"1.1.2.1","Pública","Fortaleza","2.8","3.0","3.5","3.6","3.8","4.2","4.7","5.1","5.2","",""
"1.1.2.1","Pública","Fortim","3.0","3.1","3.7","3.9","4.8","4.6","5.0","5.7","6.0","",""
"1.1.2.1","Pública","Frecheirinha","2.9","2.7","3.4","3.6","4.5","5.9","6.1","5.9","6.1","",""
"1.1.2.1","Pública","General Sampaio","2.6","3.6","3.5","-","4.7","4.9","5.2","5.1","5.6","",""
"1.1.2.1","Pública","Graça","3.4","2.7","3.8","4.0","4.3","4.4","5.2","5.3","6.4","",""
"1.1.2.1","Pública","Granja","3.0","3.4","3.5","3.3","3.7","4.7","5.1","5.0","4.8","",""
"1.1.2.1","Pública","Granjeiro","2.9","3.2","3.8","4.2","5.2","4.1","5.0","5.5","5.0","",""
"1.1.2.1","Pública","Groaíras","3.2","3.7","4.6","5.4","5.5","5.5","5.9","6.1","6.0","",""
"1.1.2.1","Pública","Guaiúba","2.6","2.8","2.9","3.3","3.7","3.9","4.2","4.6","4.9","",""
"1.1.2.1","Pública","Guaraciaba do Norte","3.1","3.5","3.5","3.8","4.6","4.4","4.8","5.2","5.8","",""
"1.1.2.1","Pública","Guaramiranga","3.1","3.7","4.3","4.0","4.3","4.9","5.0","5.1","5.2","",""
"1.1.2.1","Pública","Hidrolândia","3.2","2.9","3.6","3.9","4.0","4.4","4.6","5.1","5.3","",""
"1.1.2.1","Pública","Horizonte","3.0","3.4","3.9","4.6","4.9","-","5.2","5.7","5.6","",""
