"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Boa Viagem","20.02","19.63","22.56","17.39","12.23","17.76","15.92","11.08","14.64","20.59","8.16","10.97","9.68","17.86","10.84","12.27","10.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Brejo Santo","17.21","15.83","14.9","7.06","15.26","12.66","13.78","10.1","8.6","21.17","20.03","9.49","15.26","15.04","10.23","10.51","9.93","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Camocim","16.85","16.87","21.42","25.19","9.12","7.5","13.49","20.41","11.86","16.43","10.59","10.34","12.96","15.78","12.63","8.35","11.19","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Campos Sales","23.86","6.19","23.38","14.96","29.5","19.66","16.67","9.95","19.39","10.55","15.83","8.26","8.15","19.05","21.21","13.62","8.2","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Canindé","22.56","14.77","11.94","16.25","9.88","13.06","8.06","9.53","7.13","14.66","13.26","12.13","17.04","11.47","12.46","11.13","6.88","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Capistrano","17.94","17.54","15.09","15.27","16.88","4.2","13.16","11.72","12.24","3.4","13.16","4.17","21.43","20","12.05","18.18","17.09","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Caridade","17.67","36.36","3.68","11.86","16.46","4.52","12.99","32.97","7.66","3.95","26.55","-","8.23","10.83","18.87","8.37","15.38","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Cariré","50.93","21.19","17.86","11.95","17.94","20.41","20.73","19.8","13.22","25.25","-","15.79","12.66","4.1","7.87","12.71","4.81","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Caririaçu","19.19","13.51","19.65","19.56","21.18","8.4","17.03","25.45","16.9","18.77","7.67","10.23","7.16","15.28","5.05","2.67","7.83","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Cariús","17.94","8.73","15.44","16.88","14.22","13.27","31.53","19.05","10.36","4.78","15.15","9.39","4.85","9.85","17.75","19.23","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Carnaubal","21.98","23.26","48.19","39.53","14.71","8.4","9.13","25.64","17.7","4.22","12.82","22.3","16.88","11.28","8.89","-","12.61","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Cascavel","15.96","11.74","15.05","11.85","8.79","5.34","16.28","11.34","7.09","8.88","8.18","14.96","10.75","12.09","2.98","6.4","14.64","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Catarina","5.78","26.32","6.25","5.68","16.85","23.95","7.69","20.83","13.89","12.74","15.63","37.04","-","32.97","7.41","7.81","15.75","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Catunda","17.65","21.13","5.88","24","8.55","18.87","-","16.26","9.17","31.25","38.46","-","42.55","9.01","9.62","-","20","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Caucaia","17.09","14.07","12.74","13.32","11.48","11.77","11.62","13.84","10.18","11.3","10.51","13.82","12.42","12.91","12.88","9.84","11.48","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Cedro","17.98","15.79","15.54","11.24","8.85","21.88","16.53","21.98","5.99","17.99","10.79","13.99","21.54","12.54","11.11","15.75","26.52","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Chaval","4.63","5","36.04","32.41","34.33","4.2","-","9.39","11.49","10","5.18","4.95","25","4.93","6.02","17.34","13.25","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Choró","3.88","14.15","4.42","40.54","23.81","19.7","15.54","24.51","14.56","20.41","15.71","5.68","25.53","11.9","14.18","17.65","20.41","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Chorozinho","15.15","14.71","20.58","11.9","15.5","-","17.92","10","-","6.87","19.01","8.51","6.39","9.62","11.11","7.66","31.58","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Coreaú","33.99","11.76","5.97","25.64","12.5","5.88","10.38","17.61","9.87","12.1","21.43","22.39","21.15","9.9","3.08","9.9","7.52","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Crateús","22.86","18.02","17.01","18.2","12.56","14.2","17.19","15.97","12.71","20.09","22.01","13.14","15.87","19.09","13.25","11.57","10.8","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Crato","18.51","24.2","13.38","17.83","21.07","20.4","13.15","14.64","16.59","11.07","14.93","9.82","10.15","18.08","10","11.04","15.92","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Croatá","3.45","18.73","28.47","26.62","8.89","8.89","13.51","14.71","12.88","24.59","-","16.04","22.22","18.87","19.53","7.6","14.29","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Cruz","10.18","9.62","13.3","10.1","11.27","16.81","8.85","22.79","11.8","18.23","7.23","12.14","14.55","4.02","9.09","13.07","18.26","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Deputado Irapuan Pinheiro","15.87","24.59","31.25","22.73","35.4","26.79","10.99","11.76","-","11.24","12.05","-","-","11.49","-","34.88","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ereré","15.87","12.82","-","-","48.78","54.05","41.67","-","-","33.33","-","86.96","-","117.65","27.78","-","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Eusébio","10.22","10.96","9.78","15.58","11.46","8.53","9.05","12.01","3.69","4.77","4","8.64","5.7","15.47","9.17","11.47","7.26","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Farias Brito","22.73","20.27","14.71","6.47","16.56","13.2","11.07","18.18","7.97","16.45","14.29","12.1","7.35","11.24","28.93","16.6","46.15","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Forquilha","24.52","23.81","8.45","16.39","25.48","18.13","22.8","25.4","15.77","4.1","15.09","17.79","32.35","12.23","-","3.77","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Fortaleza","17.39","15.64","14.77","15.65","11.92","12.8","11.18","11.79","11.39","11.59","11.4","13.54","11.44","11.67","12.02","10.96","11.73","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Fortim","14.22","20.73","4.9","16.3","10.58","6.76","12.2","12.74","11.3","18.87","11.3","-","42.33","10.15","16.39","18.78","18.69","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Frecheirinha","28.3","22.83","12.35","10","15.23","23.58","17.78","20.08","11.58","10.31","4.83","16.53","7.35","22.81","21.9","4.26","8.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","General Sampaio","40.54","15.87","8.33","-","8.62","7.94","10.31","26.32","22.99","11.63","11.36","18.69","25","9.17","9.26","-","31.25","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Graça","23.62","19.92","30.77","35.56","21.74","9.9","6.29","28.57","6.76","-","16.04","6.29","-","5.88","22.22","20.1","6.85","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Granja","19.58","24.76","32.19","22.04","16.47","14.78","13.44","29.24","23.07","17.84","27.43","22.36","9.12","9.85","6.37","14.07","11.08","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Granjeiro","-","-","51.95","-","33.9","13.16","-","-","-","17.24","31.75","-","-","-","27.4","-","-","óbitos por mil nascidos vivos",1
